"Razveze zakonskih zvez po: LETO, STAROSTNE SKUPINE MOzA , STAROSTNE"
"SKUPINE zENE"

" ";" ";"Razveze - SKUPAJ (zena)";"pod 25 let (zena)";"25-29 let (zena)";"30-34 let (zena)";"35-39 let (zena)";"40-44 let (zena)";"45-49 let (zena)";"50-54 let (zena)";"55-59 let (zena)";"60 + let (zena)"
" ";"25-29 let (moz)";112;17;58;19;12;5;1;0;0;0
" ";"30-34 let (moz)";238;10;58;123;32;11;3;1;0;0
" ";"35-39 let (moz)";369;1;29;120;168;39;7;5;0;0
" ";"40-44 let (moz)";431;2;13;54;191;133;29;8;1;0
" ";"45-49 let (moz)";394;0;1;9;53;155;143;21;9;3
" ";"50-54 let (moz)";344;0;0;6;19;41;130;121;22;5
" ";"55-59 let (moz)";217;1;0;5;4;9;43;79;65;11
" ";"60 + let (moz)";230;0;1;3;9;5;12;21;60;119
"2014"
" ";"Razveze - SKUPAJ (moz)";2469;52;186;355;427;453;423;282;154;137
" ";"Pod 25 let (moz)";18;9;7;0;1;0;0;1;0;0
" ";"25-29 let (moz)";119;25;64;24;4;0;0;2;0;0
" ";"30-34 let (moz)";262;13;75;120;44;7;2;1;0;0
" ";"35-39 let (moz)";336;2;25;131;136;33;6;1;1;1
" ";"40-44 let (moz)";447;1;7;58;172;172;30;7;0;0
" ";"45-49 let (moz)";450;1;5;10;50;173;172;33;6;0
" ";"50-54 let (moz)";376;1;2;9;13;50;166;113;18;4
" ";"55-59 let (moz)";214;0;1;2;5;9;33;89;57;18
" ";"60 + let (moz)";247;0;0;1;2;9;14;35;72;114
"2015"
" ";"Razveze - SKUPAJ (moz)";2432;57;190;322;429;475;383;278;141;157
" ";"Pod 25 let (moz)";22;11;7;2;1;0;1;0;0;0
" ";"25-29 let (moz)";117;23;64;25;4;1;0;0;0;0
" ";"30-34 let (moz)";269;13;78;128;37;9;1;1;1;1
" ";"35-39 let (moz)";349;7;31;98;160;44;7;1;0;1
" ";"40-44 let (moz)";425;1;6;44;150;189;29;4;1;1
" ";"45-49 let (moz)";449;1;2;19;57;172;170;22;2;4
" ";"50-54 let (moz)";342;0;1;1;12;42;126;138;16;6
" ";"55-59 let (moz)";222;0;1;4;5;16;36;88;57;15
" ";"60 + let (moz)";237;1;0;1;3;2;13;24;64;129
"2016"
" ";"Razveze - SKUPAJ (moz)";2531;50;181;308;467;460;428;308;188;141
" ";"Pod 25 let (moz)";23;13;6;3;0;0;0;1;0;0
" ";"25-29 let (moz)";109;21;48;20;11;7;1;1;0;0
" ";"30-34 let (moz)";233;11;66;105;33;10;4;2;2;0
" ";"35-39 let (moz)";382;2;45;107;176;41;8;2;1;0
" ";"40-44 let (moz)";482;2;12;49;172;192;48;3;3;1
" ";"45-49 let (moz)";407;1;2;17;52;137;163;30;5;0
" ";"50-54 let (moz)";371;0;2;4;20;54;148;118;25;0
" ";"55-59 let (moz)";246;0;0;3;2;15;38;112;65;11
" ";"60 + let (moz)";278;0;0;0;1;4;18;39;87;129

"Vir: Statistizni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashxzIdDatotek-"
"e=9490 target=_blank) Metodolozka pojasnila"

"Starost je zas, ki je pretekel od rojstva osebe do razveze zakonske "
"zveze. Podatki o starosti so izrazunani iz datuma rojstva osebe in "
"datuma razveze zakonske zveze."

