"Sklenitve zakonskih zvez po: STAROSTNE SKUPINE ZENINA, LETO , STAROSTNE"
"SKUPINE NEVESTE"

" ";"1994";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1995";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1996";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1997";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1998";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1999";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2000";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2001";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2002";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2003";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2004";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2005";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2006";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2007";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2008";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2009";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2010";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2011";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2012";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2013";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2014";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2015";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2016";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"55-59 let - zenin";68;0;0;1;3;4;11;15;17;13;1;3;84;0;2;3;2;6;22;11;15;22;1;0;62;0;0;1;1;5;12;17;13;7;4;2;81;0;1;1;4;7;13;12;23;12;5;3;74;0;0;1;1;13;8;20;19;10;2;0;80;0;1;1;7;11;12;20;13;13;2;0;70;0;0;1;6;4;8;18;14;15;4;0;78;0;0;0;4;4;16;15;22;8;4;5;87;0;0;2;6;8;15;18;24;12;1;1;81;0;1;4;5;4;14;14;24;11;2;2;78;1;1;1;6;7;12;12;18;15;5;0;143;0;0;6;14;27;30;35;27;3;0;1;107;0;0;1;5;13;15;17;29;22;4;1;101;0;1;3;8;8;9;31;27;11;3;0;106;0;1;3;7;14;16;30;21;10;4;0;106;0;2;3;8;7;12;34;22;14;3;1;95;0;1;1;4;8;12;23;28;12;4;2;105;0;1;1;5;9;10;25;31;17;4;2;129;0;1;1;7;18;16;26;29;24;3;4;102;0;0;3;4;13;11;17;25;16;10;3;124;1;0;0;3;15;14;29;30;23;7;2;108;0;0;1;3;10;22;26;19;22;3;2;116;0;1;1;3;10;13;26;30;21;8;3
"60-64 let - zenin";66;0;0;2;3;2;3;15;12;15;9;5;50;0;1;0;3;3;3;7;13;9;7;4;47;0;0;1;0;1;4;6;10;16;7;2;54;0;0;0;1;1;3;8;18;12;7;4;48;0;1;0;2;1;8;13;10;9;1;3;51;0;0;2;1;1;5;7;13;10;7;5;46;0;0;2;1;6;5;10;8;6;7;1;42;0;0;1;1;0;1;4;3;19;9;4;59;0;1;1;1;2;10;10;18;8;7;1;57;0;0;0;1;4;4;8;18;14;7;1;47;0;0;0;0;1;8;9;8;13;7;1;83;0;0;3;5;4;16;20;20;8;5;2;53;0;1;1;2;2;3;9;12;15;5;3;39;0;0;1;1;1;5;8;9;10;3;1;56;0;0;0;4;2;5;12;11;16;4;2;58;0;0;0;1;5;5;9;14;13;10;1;50;0;0;1;2;3;2;7;14;9;10;2;68;0;0;0;1;4;6;12;12;20;11;2;86;0;0;0;1;7;6;12;19;30;8;3;71;0;0;2;7;3;7;9;12;19;9;3;78;0;1;2;2;6;7;9;16;17;15;3;70;0;2;0;0;3;5;10;12;21;13;4;98;0;1;0;0;4;6;14;19;32;14;8
"65 + let - zenin";136;0;1;2;1;2;10;8;15;23;25;49;102;0;1;0;1;2;6;8;15;25;15;29;89;0;0;0;1;1;6;7;9;18;25;22;76;0;0;1;0;3;6;4;11;12;12;27;85;0;0;0;1;1;2;7;10;14;27;23;107;0;0;0;1;3;10;11;17;17;17;31;87;0;0;0;1;3;2;9;13;17;19;23;96;0;1;1;0;2;3;7;20;13;19;30;92;0;2;1;1;1;5;2;16;18;20;26;74;0;0;0;2;1;9;8;10;14;11;19;92;0;2;0;3;2;6;6;13;15;24;21;141;0;0;0;3;4;11;19;30;26;25;23;75;0;0;0;0;1;9;4;8;16;13;24;83;0;0;0;2;1;5;6;9;19;23;18;73;0;0;0;2;3;2;5;15;18;14;14;80;0;0;0;3;1;4;9;7;17;15;24;92;0;0;0;0;0;4;10;18;20;19;21;97;0;0;0;2;2;4;14;16;18;17;24;99;0;1;0;1;2;3;14;17;13;18;30;107;0;0;1;1;3;1;8;18;19;27;29;83;0;0;0;0;2;2;6;15;21;15;22;103;0;0;0;3;2;5;15;17;17;20;24;99;0;0;0;2;2;3;10;17;9;26;30

"Vir: Statistizni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=9490 target=_blank) Metodolo?ka pojasnila"

"Starost je ?as, ki je pretekel od rojstva osebe do trenutka "
"opazovanja - sklenitve zakonske zveze. Podatki o starosti so "
"izra?unani iz datuma rojstva osebe in datuma sklenitve zakonske zveze."

"Starost je ?as, ki je pretekel od rojstva osebe do trenutka "
"opazovanja - sklenitve zakonske zveze. Podatki o starosti so "
"izra?unani iz datuma rojstva osebe in datuma sklenitve zakonske zveze."

